lokacija	broj_soba	kvadratura	sprat	novogradnja	centralno_grejanje	lift	parking	uknjizen	stanje	cena	klasa
Novi Beograd-Opština	1	34	V+	NE	DA	DA		DA		1382.352941	1.3-1.5K
Novi Beograd-Sava Centar	2	55	I-II	NE	DA	DA	NE	DA	1	1381.818182	1.3-1.5K
Golf naselje	2	42	I-II		DA			DA	1	1380.952381	1.3-1.5K
Golf naselje	2	47	III-IV	DA	NE			DA	1	1380.851064	1.3-1.5K
Filmski grad	2	76	I-II	DA	DA	DA	NE	DA	2	1380.263158	1.3-1.5K
Novi Beograd-Opština	3	79	I-II	NE	DA	DA	NE	DA		1379.746835	1.3-1.5K
Konjarnik	4	113	V+	DA	DA	DA	DA			1379.646018	1.3-1.5K
Konjarnik-Denkova basta 	1	29	V+		DA	DA			1	1379.310345	1.3-1.5K
Filmski grad	2	58	I-II	NE	DA	DA	NE		0	1379.310345	1.3-1.5K
Bežanijska kosa-stara	2	40	III-IV	NE	DA		DA	DA		1375	1.3-1.5K
Bogoslovija	1	40	III-IV	NE	DA	DA	DA	DA	1	1375	1.3-1.5K
Konjarnik-Denkova basta 	1	32	P		DA					1375	1.3-1.5K
Karaburma	3	64	I-II	DA	DA	DA			2	1375	1.3-1.5K
Medaković 2	1	24	I-II		DA	DA	DA	DA		1375	1.3-1.5K
Novi Beograd-Opština	2	96	V+	NE	DA	DA	DA	DA		1375	1.3-1.5K
Novi Beograd-Studentski grad	3	72	I-II		DA	DA		DA		1375	1.3-1.5K
Novi Beograd-Studentski grad	3	72	I-II		DA	DA		DA	1	1375	1.3-1.5K
Novi Beograd-Studentski grad	3	72	I-II		DA	DA		DA		1375	1.3-1.5K
Novi Beograd-Studentski grad	3	72	I-II		DA	DA		DA		1375	1.3-1.5K
Profesorska kolonija	3	80	III-IV	NE	NE			DA	1	1375	1.3-1.5K
Profesorska kolonija	1	40	V+	NE	NE	DA	DA	DA	1	1375	1.3-1.5K
Konjarnik	3	91	V+	NE	DA	DA	NE	DA	1	1373.626374	1.3-1.5K
Košutnjak	3	70	I-II		DA			DA	1	1371.428571	1.3-1.5K
Golf naselje	2	62	I-II		DA	DA		DA	2	1370.967742	1.3-1.5K
Bogoslovija	1	27	I-II		DA					1370.37037	1.3-1.5K
Novi Beograd-Opština	4	92	V+	NE	DA	DA	DA	DA	1	1369.565217	1.3-1.5K
Bežanijska kosa-stara	2	57	V+		DA	DA		DA		1368.421053	1.3-1.5K
Cerak	2	57	III-IV	DA	DA	DA		DA	2	1368.421053	1.3-1.5K
Filmski grad	2	57	III-IV	DA	DA	DA	NE		2	1368.421053	1.3-1.5K
Novi Beograd-Opština	2	49	III-IV	NE	DA	DA	NE	DA		1367.346939	1.3-1.5K
Dušanovac	3	82	III-IV	NE	DA	NE	DA	DA	1	1365.853659	1.3-1.5K
Novi Beograd-Studentski grad	2	41	V+	NE	DA	DA	DA	DA	1	1365.853659	1.3-1.5K
Novi Beograd-Studentski grad	1	41	V+		DA	DA		DA		1365.853659	1.3-1.5K
Zemun-Save Kovačevića	2	54	I-II	DA	DA	NE	DA	DA	2	1364.814815	1.3-1.5K
Autokomanda	1	55	I-II		DA					1363.636364	1.3-1.5K
Centar-Stari grad	2	44	I-II		NE			DA	2	1363.636364	1.3-1.5K
Cerak	1	33	III-IV		DA	DA	DA	DA	1	1363.636364	1.3-1.5K
Konjarnik	2	33	V+	DA	DA	DA		DA	1	1363.636364	1.3-1.5K
Učiteljsko naselje	3	55	I-II	DA	NE			NE	1	1363.636364	1.3-1.5K
Vračar-Hram	1	22	I-II							1363.636364	1.3-1.5K
Novi Beograd-Blokovi Sava	2	58	V+		DA	DA		DA	1	1362.068966	1.3-1.5K
Novi Beograd-Blokovi Sava	1	44	P		DA			DA	1	1361.363636	1.3-1.5K
Novi Beograd-Sava Centar	2	44	P	NE	DA	NE	NE	DA	1	1361.363636	1.3-1.5K
Kumodraž 1	2	36	V+		DA			DA	1	1361.111111	1.3-1.5K
Novi Beograd-Opština	1	36	V+	NE	DA	DA		DA		1361.111111	1.3-1.5K
Čukarička padina	3	72	III-IV	NE		DA	DA	DA	1	1361.111111	1.3-1.5K
Čukarička padina	3	72	III-IV	NE		DA	DA	DA	1	1361.111111	1.3-1.5K
Bogoslovija	3	75	I-II		NE		DA	DA	2	1360	1.3-1.5K
Novi Beograd-Sava Centar	4	89	III-IV	NE	DA	DA	NE	DA	1	1359.550562	1.3-1.5K
Novi Beograd-Sava Centar	4	89	III-IV	NE	DA	DA	DA	DA	1	1359.550562	1.3-1.5K
Beli dvor	3	64	I-II		NE		DA	DA		1359.375	1.3-1.5K
Lekino Brdo	1	32	I-II	DA	DA			DA	1	1359.375	1.3-1.5K
Cerak vinogradi	1	35	III-IV		DA		DA			1357.142857	1.3-1.5K
Filmski grad	2	42	P	DA	DA		NE	DA	2	1357.142857	1.3-1.5K
Golf naselje	3	70	I-II		DA	DA		DA		1357.142857	1.3-1.5K
Učiteljsko naselje	3	70	I-II	DA	DA			NE		1357.142857	1.3-1.5K
Čukarička padina	3	70	I-II	NE	DA	DA		DA	1	1357.142857	1.3-1.5K
Novi Beograd-Hotel Jugoslavija	3	73	III-IV		DA					1356.164384	1.3-1.5K
Novi Beograd-Sava Centar	3	73	I-II	DA	DA	DA	DA	DA	2	1356.164384	1.3-1.5K
Zemun-Kalvarija	1	25	P	DA	NE		DA		1	1356	1.3-1.5K
Dušanovac	2	59	I-II	NE	DA	NE		DA	2	1355.932203	1.3-1.5K
Čukarička padina	1	31	III-IV	NE	DA			NE	1	1354.83871	1.3-1.5K
Čukarička padina	1	31	III-IV	NE	DA			NE	1	1354.83871	1.3-1.5K
Učiteljsko naselje	3	55	I-II	DA	NE			NE	2	1354.545455	1.3-1.5K
Žarkovo	4	79	I-II		NE					1354.43038	1.3-1.5K
Filmski grad	4	96	I-II	NE	DA	DA	DA	DA	2	1354.166667	1.3-1.5K
Golf naselje	2	48	I-II		DA	DA		DA		1354.166667	1.3-1.5K
Golf naselje	4	96	I-II	DA	DA				2	1354.166667	1.3-1.5K
Novi Beograd-Hotel Jugoslavija	2	48	V+	NE	DA	DA	DA	DA	1	1354.166667	1.3-1.5K
Čukarička padina	4	96	V+		DA	DA	DA	DA		1354.166667	1.3-1.5K
Čukarička padina	4	96	V+		DA	DA	DA	DA		1354.166667	1.3-1.5K
Bežanijska kosa-Blokovi	3	65	V+		DA	DA		DA	2	1353.846154	1.3-1.5K
Kalemegdan	3	85	P	NE	DA	NE		DA		1352.941176	1.3-1.5K
Profesorska kolonija	3	68	III-IV	NE	DA	DA	DA	DA	1	1352.941176	1.3-1.5K
Zemun-Save Kovačevića	2	40	P	DA	DA	NE	DA	DA	2	1352.5	1.3-1.5K
Centar-Stari grad	2	54	P	NE	DA			DA	1	1351.851852	1.3-1.5K
Profesorska kolonija	1	27	V+	NE	DA	DA		DA	0	1351.851852	1.3-1.5K
Bežanijska kosa-stara	2	37	P	NE	NE			DA		1351.351351	1.3-1.5K
Konjarnik-Denkova basta 	3	50	III-IV	DA	DA		DA		2	1350	1.3-1.5K
Filmski grad	1	40	P	DA	NE	DA	NE	DA	2	1350	1.3-1.5K
Filmski grad	1	40	I-II	DA	DA	DA	NE		2	1350	1.3-1.5K
Filmski grad	2	60	I-II	DA	DA	DA	NE		0	1350	1.3-1.5K
Karaburma	1	36	V+	DA	DA					1350	1.3-1.5K
Konjarnik	2	40	III-IV	DA	DA	DA		DA	2	1350	1.3-1.5K
Lekino Brdo	1	27	III-IV	DA	NE	NE		DA	1	1350	1.3-1.5K
Lekino Brdo	1	28	III-IV	DA	NE			DA	1	1350	1.3-1.5K
Novi Beograd-Fontana	1	30	III-IV		DA		NE	DA		1300	1.1-1.3K
Novi Beograd-Fontana	3	60	V+	NE	DA	DA	NE	DA	1	1300	1.1-1.3K
Banjica	2	56	I-II		DA	DA		DA		1300	1.1-1.3K
Djeram pijaca 	1	40	P		NE		NE			1300	1.1-1.3K
Dušanovac	2	50	P	DA	DA	NE	DA			1300	1.1-1.3K
Filmski grad	2	60	I-II	NE	DA	DA	NE		1	1300	1.1-1.3K
Lekino Brdo	4	110	I-II	DA	DA		DA	DA	1	1300	1.1-1.3K
Lekino Brdo	2	40	III-IV	DA	DA	DA			2	1300	1.1-1.3K
Mirijevo 2	2	40	P	DA	DA				2	1300	1.1-1.3K
Profesorska kolonija	3	73	V+	NE	DA	DA	DA	DA	1	1300	1.1-1.3K
Učiteljsko naselje	2	50	I-II		DA	DA		DA	0	1300	1.1-1.3K
Zemun-Novi grad	2	48	I-II	NE	DA		NE	DA	1	1300	1.1-1.3K
Zemun-Novi grad	3	70	I-II	NE	NE		NE			1300	1.1-1.3K
Zemun-Kalvarija	3	70	I-II	DA	NE		DA			1300	1.1-1.3K
Konjarnik	3	77	I-II	DA	DA	DA			1	1298.701299	1.1-1.3K
Mirijevo 2	2	55	I-II	DA	DA	NE			2	1298.181818	1.1-1.3K
Novi Beograd-Blokovi Sava	3	67	P		DA	DA		DA		1297.014925	1.1-1.3K
Karaburma	3	54	V+	DA	DA	DA			2	1296.296296	1.1-1.3K
Konjarnik	4	81	I-II	NE	DA	DA		DA	2	1296.296296	1.1-1.3K
Učiteljsko naselje	1	27	I-II	DA	NE				1	1296.296296	1.1-1.3K
Vukov Spomenik	1	27	P	NE	DA			NE	1	1296.296296	1.1-1.3K
Novi Beograd-Hotel Jugoslavija	1	25	V+	NE	DA	DA		DA		1296	1.1-1.3K
Novi Beograd-Studentski grad	3	71	I-II		DA			DA		1295.774648	1.1-1.3K
Konjarnik-Denkova basta 	1	44	V+	DA	DA	DA		DA	2	1295.454545	1.1-1.3K
Čukarička padina	3	78	I-II	NE	DA	DA			1	1294.871795	1.1-1.3K
Čukarička padina	3	78	I-II	NE	DA	DA			1	1294.871795	1.1-1.3K
Profesorska kolonija	3	75	I-II	NE	DA			DA	0	1293.333333	1.1-1.3K
Cerak vinogradi	3	58	I-II		DA	DA				1293.103448	1.1-1.3K
Novi Beograd-Studentski grad	3	58	V+		DA	DA	DA	DA		1293.103448	1.1-1.3K
Novi Beograd-Studentski grad	2	58	V+	NE	DA	DA		DA	1	1293.103448	1.1-1.3K
Kalemegdan	4	85	III-IV	NE				DA	1	1292.941176	1.1-1.3K
Bogoslovija	1	24	I-II		DA					1291.666667	1.1-1.3K
Bežanijska kosa-stara	1	31	P		NE			NE		1290.322581	1.1-1.3K
Bežanijska kosa-stara	1	31	I-II	NE	NE					1290.322581	1.1-1.3K
Bežanijska kosa-stara	1	31	I-II		NE					1290.322581	1.1-1.3K
Bežanijska kosa-Blokovi	3	93	III-IV	DA	DA	DA		DA	2	1290.322581	1.1-1.3K
Novi Beograd-Opština	2	45	V+	NE	DA	DA	DA	DA		1288.888889	1.1-1.3K
Zemun-Novi grad	2	45	I-II	DA	NE		NE	DA	2	1288.888889	1.1-1.3K
Bežanijska kosa-Blokovi	2	59	V+		DA	DA	DA	DA	2	1288.135593	1.1-1.3K
Medaković 1	3	80	I-II		NE					1287.5	1.1-1.3K
Medaković 1	3	80	I-II		NE					1287.5	1.1-1.3K
Čukarička padina	4	101	V+	NE	DA	DA		DA	1	1287.128713	1.1-1.3K
Čukarička padina	4	101	V+	NE	DA	DA		DA	1	1287.128713	1.1-1.3K
Konjarnik-Denkova basta 	3	108	V+	DA	DA	DA	DA	DA	2	1287.037037	1.1-1.3K
Novi Beograd-Fontana	2	70	V+	DA	DA	DA	DA	DA	2	1285.714286	1.1-1.3K
Bele Vode	1	35	III-IV	DA	DA	DA		DA	1	1285.714286	1.1-1.3K
Bogoslovija	1	35	P		DA			DA		1285.714286	1.1-1.3K
Filmski grad	3	70	I-II	NE	DA	DA	DA	DA	1	1285.714286	1.1-1.3K
Kanarevo brdo	1	21	III-IV	NE	DA		NE	DA		1285.714286	1.1-1.3K
Karaburma	4	84	III-IV	DA	DA	DA	DA		2	1285.714286	1.1-1.3K
Novi Beograd-Blokovi Sava	3	56	I-II		DA	DA		DA		1285.714286	1.1-1.3K
Novi Beograd-Blokovi Sava	2	56	V+		DA	DA		DA	1	1285.714286	1.1-1.3K
Čukarička padina	1	49	III-IV	NE	DA			NE	1	1285.714286	1.1-1.3K
Čukarička padina	1	49	III-IV	NE	DA			NE	1	1285.714286	1.1-1.3K
Vukov Spomenik	1	35	P	NE	NE			DA		1285.714286	1.1-1.3K
Novi Beograd-Opština	4	87	V+	NE	DA	DA	DA	DA	1	1285.057471	1.1-1.3K
Cerak vinogradi	2	60	V+		DA	DA	DA		1	1283.333333	1.1-1.3K
Novi Beograd-Blokovi Sava	2	60	I-II		DA	DA		DA	1	1283.333333	1.1-1.3K
Vukov Spomenik	4	113	I-II	NE	NE	NE	NE	DA	2	1283.185841	1.1-1.3K
Vukov Spomenik	4	113	I-II	NE	DA			DA	2	1283.185841	1.1-1.3K
Golf naselje	3	53	P		DA	DA		DA		1283.018868	1.1-1.3K
Kanarevo brdo	2	46	V+	DA	DA	DA	NE	DA	2	1282.608696	1.1-1.3K
Karaburma	4	117	III-IV	DA	DA			DA	2	1282.051282	1.1-1.3K
Medaković 2	3	64	I-II		DA			DA		1281.25	1.1-1.3K
Mirijevo 1	1	32	P	DA	NE				2	1281.25	1.1-1.3K
Novi Beograd-Hotel Jugoslavija	1	25	V+	NE	DA	DA		DA	0	1280	1.1-1.3K
Višnjicka banja	2	60	I-II		DA			DA	1	1280	1.1-1.3K
Filmski grad	4	93	I-II	NE	DA		NE	DA	1	1279.569892	1.1-1.3K
Novi Beograd-Studentski grad	3	68	V+		DA	DA		DA	1	1279.411765	1.1-1.3K
Žarkovo	1	43	III-IV	DA	DA					1279.069767	1.1-1.3K
Novi Beograd-Opština	2	61	V+	NE	DA	DA	NE	DA	2	1278.688525	1.1-1.3K
Novi Beograd-Fontana	2	46	V+	NE	DA	NE	NE	DA	2	1278.26087	1.1-1.3K
Cerak	2	56	III-IV	DA	DA				1	1276.785714	1.1-1.3K
Novi Beograd-Fontana	1	43	I-II	NE	DA	DA	NE	DA	1	1276.744186	1.1-1.3K
Rakovica	1	43	P	DA	DA			DA	2	1276.744186	1.1-1.3K
Cerak	3	47	I-II	DA	NE			DA	2	1276.595745	1.1-1.3K
Golf naselje	3	76	P		DA			DA		1276.315789	1.1-1.3K
Košutnjak	1	40	P		DA	DA			1	1275	1.1-1.3K
Novi Beograd-Blokovi Sava	2	60	I-II		DA	DA		DA	1	1275	1.1-1.3K
Zemun-Save Kovačevića	1	40	III-IV		DA			DA		1275	1.1-1.3K
Zemun-Kalvarija	3	55	I-II		DA	DA		DA	1	1272.727273	1.1-1.3K
Novi Beograd-Fontana	3	70	I-II	NE	DA	DA	NE	DA	1	1271.428571	1.1-1.3K
Bežanijska kosa-Blokovi	2	70	V+	NE	DA	DA		DA	2	1271.428571	1.1-1.3K
Novi Beograd-Sava Centar	3	70	V+	NE	DA	DA	NE	DA	2	1271.428571	1.1-1.3K
Učiteljsko naselje	3	59	III-IV	DA	DA		DA	DA	2	1271.186441	1.1-1.3K
Čukarička padina	2	59	V+	NE	DA	DA		DA	1	1271.186441	1.1-1.3K
Čukarička padina	2	59	V+	NE	DA	DA		DA		1271.186441	1.1-1.3K
Vidikovac	2	59	V+	DA	DA	DA		DA	1	1271.186441	1.1-1.3K
Kalemegdan	3	85	V+	NE	DA	DA	DA	DA	1	1270.588235	1.1-1.3K
Autokomanda	1	37	P		NE					1270.27027	1.1-1.3K
Golf naselje	3	74	V+		DA	DA		DA	1	1270.27027	1.1-1.3K
Cerak	1	33	I-II	NE	DA	NE	DA	DA	2	1270	1.1-1.3K
Profesorska kolonija	3	70	P	NE	DA			DA	1	1270	1.1-1.3K
Novi Beograd-Fontana	2	63	I-II	NE	DA	DA	NE	DA	1	1269.84127	1.1-1.3K
Bogoslovija	3	63	III-IV		DA	DA		DA		1269.84127	1.1-1.3K
Novi Beograd-Hotel Jugoslavija	2	63	P	DA	DA	DA	DA	DA	1	1269.84127	1.1-1.3K
Banjica	3	78	I-II	NE	DA	DA		DA	1	1269.230769	1.1-1.3K
Zemun-Save Kovačevića	2	52	I-II	DA	DA			DA	1	1269.230769	1.1-1.3K
Lekino Brdo	3	67	III-IV	DA	DA		DA			1268.656716	1.1-1.3K
Vračar-Kalenić pijaca	1	41	V+	NE	DA	DA	DA	DA	1	1268.292683	1.1-1.3K
Golf naselje	3	56	I-II		NE		DA	DA		1267.857143	1.1-1.3K
Čukarička padina	3	71	I-II	NE	DA	DA	DA	DA	2	1267.605634	1.1-1.3K
Bežanijska kosa-stara	1	30	I-II	NE	NE			DA		1266.666667	1.1-1.3K
Bežanijska kosa-stara	1	30	I-II		NE			DA		1266.666667	1.1-1.3K
Bežanijska kosa-stara	1	30	I-II	DA	DA			DA	1	1266.666667	1.1-1.3K
Golf naselje	3	60	III-IV		DA			DA	1	1266.666667	1.1-1.3K
Mirijevo 1	1	30	III-IV	DA	NE		DA	DA	2	1266.666667	1.1-1.3K
Novi Beograd-Opština	3	75	V+	NE	DA	DA	NE	DA	1	1266.666667	1.1-1.3K
Novi Beograd-Blokovi Sava	3	75	P		DA	DA				1266.666667	1.1-1.3K
Novi Beograd-Blokovi Sava	3	75	V+		DA	DA	DA	DA		1266.666667	1.1-1.3K
Filmski grad	1	32	III-IV	NE	DA	DA	NE	DA	1	1265.625	1.1-1.3K
Novi Beograd-Opština	4	87	V+	NE	DA	DA	DA	DA	1	1264.367816	1.1-1.3K
Novi Beograd-Blokovi Sava	4	87	V+		DA	DA		DA	1	1264.367816	1.1-1.3K
Novi Beograd-Fontana	1	38	I-II		DA	DA	NE		1	1263.157895	1.1-1.3K
Novi Beograd-Fontana	4	95	V+	NE	DA	DA	DA	DA	1	1263.157895	1.1-1.3K
Novi Beograd-Studentski grad	2	57	I-II		DA	DA		DA		1263.157895	1.1-1.3K
Čukarička padina	1	38	I-II		DA	DA		DA	2	1263.157895	1.1-1.3K
Cerak vinogradi	3	53	P		DA	DA	DA			1262.264151	1.1-1.3K
Filmski grad	1	42	III-IV	NE	DA		NE	DA	1	1261.904762	1.1-1.3K
Cerak vinogradi	3	65	III-IV		DA		DA	DA		1261.538462	1.1-1.3K
Novi Beograd-Hotel Jugoslavija	2	65	V+	NE	DA	DA		DA		1261.538462	1.1-1.3K
Novi Beograd-Hotel Jugoslavija	2	67	III-IV	NE	DA		DA	DA	1	1261.19403	1.1-1.3K
Bogoslovija	1	25	III-IV		NE			DA	2	1260	1.1-1.3K
Novi Beograd-Hotel Jugoslavija	2	54	III-IV	NE	DA		DA	DA		1259.259259	1.1-1.3K
Zemun-Kalvarija	2	54	P					DA		1259.259259	1.1-1.3K
Bežanijska kosa-stara	2	31	P		DA			DA		1258.064516	1.1-1.3K
Bežanijska kosa-stara	2	31	III-IV	NE	NE			DA		1258.064516	1.1-1.3K
Novi Beograd-Blokovi Sava	1	31	P		DA			DA		1258.064516	1.1-1.3K
Zemun-Save Kovačevića	2	35	I-II	DA	NE		DA		2	1257.142857	1.1-1.3K
Novi Beograd-Opština	3	58	V+	NE	DA	DA	NE	DA	2	1256.896552	1.1-1.3K
Zemun-Novi grad	3	78	I-II	NE	DA	DA	NE	DA		1256.410256	1.1-1.3K
Učiteljsko naselje	2	51	I-II	NE	DA	DA	DA	DA	1	1254.901961	1.1-1.3K
Dušanovac	2	55	I-II	DA	DA	NE	DA	DA		1254.545455	1.1-1.3K
Lekino Brdo	2	55	P	DA	DA		DA	DA	1	1254.545455	1.1-1.3K
Konjarnik	3	57	I-II	NE	DA	DA			1	1254.385965	1.1-1.3K
Zemun-Kalvarija	3	59	I-II	DA	NE				1	1254.237288	1.1-1.3K
Lekino Brdo	3	63	V+	DA	DA	DA	DA		1	1253.968254	1.1-1.3K
Autokomanda	2	71	I-II		DA					1253.521127	1.1-1.3K
Novi Beograd-Fontana	1	40	P		DA	DA	NE	DA		1250	1.1-1.3K
Bežanijska kosa-stara	1	30	I-II		NE			DA		1250	1.1-1.3K
Bežanijska kosa-Blokovi	2	76	V+	NE	DA	DA	DA	DA		1250	1.1-1.3K
Bogoslovija	1	26	III-IV		DA		DA	DA		1250	1.1-1.3K
Cerak	3	56	I-II	DA	NE			DA	2	1250	1.1-1.3K
Cerak vinogradi	4	84	I-II		DA	DA	DA	DA		1250	1.1-1.3K
Djeram pijaca 	2	52	I-II	NE	DA		NE	DA	1	1250	1.1-1.3K
Donji Dorćol	2	60	V+		NE	DA		DA		1250	1.1-1.3K
Konjarnik	4	92	III-IV		DA	DA				1250	1.1-1.3K
Konjarnik	2	64	V+	NE	DA	DA		DA		1250	1.1-1.3K
Košutnjak	3	96	I-II		NE	DA		DA	0	1250	1.1-1.3K
Novi Beograd-Opština	3	62	V+	NE	DA	DA	NE	DA	1	1250	1.1-1.3K
Novi Beograd-Blokovi Sava	1	48	V+		DA	DA		DA		1250	1.1-1.3K
Novi Beograd-Sava Centar	1	60	III-IV		DA	NE	NE	DA		1250	1.1-1.3K
Profesorska kolonija	1	20	P	NE	NE			DA		1250	1.1-1.3K
Čukarička padina	2	52	I-II	NE	DA	DA	DA	DA	1	1250	1.1-1.3K
Čukarička padina	3	80	I-II	DA	DA	DA	DA		2	1250	1.1-1.3K
Čukarička padina	3	80	V+	NE	DA	DA	DA	DA	1	1250	1.1-1.3K
Čukarička padina	3	80	V+	NE	DA	DA	DA	DA	1	1250	1.1-1.3K
Žarkovo	1	40	I-II	DA	DA		DA	DA		1250	1.1-1.3K
Žarkovo	3	56	I-II	DA	NE	NE		DA	2	1250	1.1-1.3K
Zemun-Save Kovačevića	3	62	P	DA	DA	NE	DA	DA	2	1250	1.1-1.3K
Zemun-Save Kovačevića	1	38	P	DA	NE			DA	2	1250	1.1-1.3K
Zemun-Nova Galenika	1	36	I-II		NE			DA		1250	1.1-1.3K
Zemun-Novi grad	2	44	I-II	DA	NE		DA	DA	2	1250	1.1-1.3K
Zemun-Kalvarija	1	40	III-IV		NE			DA		1250	1.1-1.3K
Filmski grad	3	67	III-IV	DA	DA	DA	NE		2	1246.268657	1.1-1.3K
Bežanijska kosa-Blokovi	2	65	V+		DA	DA		DA	2	1246.153846	1.1-1.3K
Medaković 3	2	61	I-II	NE	DA	DA		DA	2	1245.901639	1.1-1.3K
Novi Beograd-Opština	3	61	V+	NE	DA	DA	DA	DA	1	1245.901639	1.1-1.3K
Novi Beograd-Studentski grad	3	61	V+		DA	DA		DA		1245.901639	1.1-1.3K
Žarkovo	2	61	III-IV		DA					1245.901639	1.1-1.3K
Cerak vinogradi	3	53	P		DA	DA	DA			1245.283019	1.1-1.3K
Košutnjak	2	45	I-II	NE	NE		DA	DA	1	1244.444444	1.1-1.3K
Dušanovac	1	37	I-II	NE	DA	NE		DA	1	1243.243243	1.1-1.3K
Zemun-Save Kovačevića	3	74	I-II	NE	DA	DA			0	1243.243243	1.1-1.3K
Kalemegdan	4	169	P	NE	NE	NE		DA	1	1242.60355	1.1-1.3K
Konjarnik	1	33	V+	NE	DA	DA		DA	1	1242.424242	1.1-1.3K
Filmski grad	2	58	III-IV	DA	DA	DA	DA	DA	1	1241.37931	1.1-1.3K
Medaković 3	1	29	I-II	DA	NE		DA	DA	2	1241.37931	1.1-1.3K
Mirijevo 1	1	29	I-II	DA	DA		DA		2	1241.37931	1.1-1.3K
Žarkovo	3	56	P		NE				2	1241.071429	1.1-1.3K
Učiteljsko naselje	2	52	I-II	DA	NE				2	1240.384615	1.1-1.3K
Lekino Brdo	2	50	III-IV	NE	NE			DA	1	1240	1.1-1.3K
Medaković 3	3	96	III-IV	NE	DA	DA	DA	DA	1	1239.583333	1.1-1.3K
Banjica	2	67	V+	NE	DA	DA		DA		1238.80597	1.1-1.3K
Novi Beograd-Hotel Jugoslavija	2	67	III-IV	NE	DA	NE	DA	DA	1	1238.80597	1.1-1.3K
Banjica	2	42	P	NE	DA		DA	DA	1	1238.095238	1.1-1.3K
Rakovica	1	21	P		DA	DA		DA	1	1238.095238	1.1-1.3K
Zemun-Kalvarija	1	21	III-IV		NE				1	1238.095238	1.1-1.3K
Bežanijska kosa-Blokovi	3	76	V+	DA	DA	DA			2	1236.842105	1.1-1.3K
Zemun-Kalvarija	4	101	I-II		NE			DA		1236.633663	1.1-1.3K
Novi Beograd-Opština	4	93	V+	NE	DA	DA	NE	DA		1236.55914	1.1-1.3K
Cerak vinogradi	3	72	I-II	NE	DA	DA		DA	1	1236.111111	1.1-1.3K
Autokomanda	1	34	P	DA	DA		DA		1	1235.294118	1.1-1.3K
Čukarička padina	1	51	I-II	NE	DA	DA			1	1235.294118	1.1-1.3K
Čukarička padina	1	51	I-II	NE	DA	DA			1	1235.294118	1.1-1.3K
Medaković 2	2	64	III-IV		DA			DA	1	1234.375	1.1-1.3K
Profesorska kolonija	4	120	III-IV		NE			DA	1	1233.333333	1.1-1.3K
Novi Beograd-Hotel Jugoslavija	3	73	III-IV	DA	DA	NE		DA	1	1232.876712	1.1-1.3K
Novi Beograd-Hotel Jugoslavija	3	73	III-IV	DA	DA			DA	1	1232.876712	1.1-1.3K
Košutnjak	3	73	I-II	NE	DA	DA		DA	2	1232.876712	1.1-1.3K
Novi Beograd-Sava Centar	3	73	V+	NE	DA	DA	NE	DA	1	1232.876712	1.1-1.3K
Novi Beograd-Fontana	2	56	V+	NE	DA	DA	NE	DA	1	1232.142857	1.1-1.3K
Novi Beograd-Fontana	2	65	I-II	NE	DA	DA	NE	DA	1	1230.769231	1.1-1.3K
Filmski grad	1	39	III-IV	DA	DA	DA	DA	DA	2	1230.769231	1.1-1.3K
Kumodraž 1	3	65	I-II	DA	NE		DA	DA	1	1230.769231	1.1-1.3K
Profesorska kolonija	1	39	III-IV	DA	DA			DA	1	1230.769231	1.1-1.3K
Učiteljsko naselje	2	52	I-II	DA	NE			DA	2	1230.769231	1.1-1.3K
Cerak vinogradi	2	61	P		DA	DA	DA	DA	2	1229.508197	1.1-1.3K
Filmski grad	2	61	III-IV	DA	NE	DA	NE	NE		1229.508197	1.1-1.3K
Zemun-Save Kovačevića	2	61	III-IV	NE	DA	DA		DA	1	1229.508197	1.1-1.3K
Novi Beograd-Fontana	2	48	V+	NE	DA	DA	DA	DA	1	1229.166667	1.1-1.3K
Cerak vinogradi	4	96	I-II		DA	DA	DA	DA	1	1229.166667	1.1-1.3K
Konjarnik-Denkova basta 	2	48	III-IV	NE	DA	DA			1	1229.166667	1.1-1.3K
Vračar-Hram	2	70	I-II		NE			DA	0	1228.571429	1.1-1.3K
Konjarnik	2	68	I-II	NE	DA	DA		DA	1	1227.941176	1.1-1.3K
Žarkovo	3	58	I-II	DA	DA	DA				1227.586207	1.1-1.3K
Filmski grad	1	26	I-II		DA	DA	NE			1226.923077	1.1-1.3K
Zemun-Nova Galenika	1	26	I-II	DA	NE		DA	DA	2	1226.923077	1.1-1.3K
Julino brdo	1	31	III-IV	DA	DA	NE	NE	DA	2	1225.806452	1.1-1.3K
Konjarnik	1	31	I-II	NE	DA	NE		DA		1225.806452	1.1-1.3K
Konjarnik	2	62	V+		DA	DA	DA	DA		1225.806452	1.1-1.3K
Novi Beograd-Opština	3	62	V+	NE	DA	DA	DA	DA	1	1225.806452	1.1-1.3K
Novi Beograd-Studentski grad	1	31	P	NE	NE		DA		1	1225.806452	1.1-1.3K
Čukarička padina	3	80	I-II	DA	DA	DA	DA		2	1225	1.1-1.3K
Petlovo brdo	4	98	P	NE	DA		DA			1224.489796	1.1-1.3K
Novi Beograd-Fontana	3	76	I-II	NE	DA	DA	NE	DA	1	1223.684211	1.1-1.3K
Bežanijska kosa-Blokovi	3	76	I-II		DA	DA		DA		1223.684211	1.1-1.3K
Novi Beograd-Blokovi Sava	3	76	I-II		DA	DA		DA	1	1223.684211	1.1-1.3K
